 program J1J2_6          
 linear system size                20
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.855263E+01   21 -.626972E+01 0.000000E+00
 0.855263E+01   22 -.617885E+01 0.000000E+00
 0.855263E+01   23 -.608798E+01 0.000000E+00
 0.855263E+01   24 -.599711E+01 0.000000E+00
 0.855263E+01   25 -.590624E+01 0.000000E+00
 0.855263E+01   26 -.581537E+01 0.000000E+00
 0.855263E+01   27 -.572450E+01 0.000000E+00
 0.855263E+01   28 -.563362E+01 0.000000E+00
 0.855263E+01   29 -.554275E+01 0.000000E+00
 0.855263E+01   30 -.545188E+01 0.000000E+00
 0.855263E+01   31 -.536101E+01 0.000000E+00
 0.855263E+01   32 -.527014E+01 0.000000E+00
 0.855263E+01   33 -.517927E+01 0.000000E+00
 0.855263E+01   34 -.508839E+01 0.000000E+00
 0.855263E+01   35 -.499752E+01 0.000000E+00
 0.855263E+01   36 -.490665E+01 0.000000E+00
 0.855263E+01   37 -.481578E+01 0.000000E+00
 0.855263E+01   38 -.472491E+01 0.000000E+00
 0.855263E+01   39 -.463404E+01 0.000000E+00
 0.855263E+01   40 -.454316E+01 0.000000E+00
 0.855263E+01   41 -.445229E+01 0.000000E+00
 0.855263E+01   42 -.436142E+01 0.000000E+00
 0.855263E+01   43 -.427055E+01 0.000000E+00
 0.855263E+01   44 -.417968E+01 0.170000E-05
 0.855263E+01   45 -.408881E+01 0.825000E-04
 0.855263E+01   46 -.399794E+01 0.161540E-02
 0.855263E+01   47 -.390706E+01 0.122757E-01
 0.855263E+01   48 -.381619E+01 0.507770E-01
 0.855263E+01   49 -.372532E+01 0.151244E+00
 0.855263E+01   50 -.363445E+01 0.298898E+00
 0.855263E+01   51 -.354358E+01 0.302161E+00
 0.855263E+01   52 -.345271E+01 0.142014E+00
