 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9017
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.104444E+02 0.743359E-01 0.655989E-02 0.671301E-04 0.428745E-02 0.440003E+00 0.172557E+02 0.441651E+00 0.276348E-01 0.197759E-02 0.215272E+00 0.601560E-01 0.488789E-02 0.445186E-04 0.378718E+00 0.708451E-02 0.344449E-01 0.167200E-02 0.605840E-05 0.265684E+00 0.923367E-01 0.206421E-02 0.253395E-03 0.722805E+00 0.111073E+00
 0.105000E+02 0.686799E-01 0.565590E-02 0.513372E-04 0.368272E-02 0.395170E+00 0.154785E+02 0.397596E+00 0.429165E-01 0.260048E-02 0.191328E+00 0.550515E-01 0.416469E-02 0.337398E-04 0.351765E+00 0.128183E-04 0.324316E-01 0.149121E-02 0.490781E-05 0.252475E+00 0.937992E-01 0.178580E-02 0.244096E-03 0.743632E+00 0.993611E-01
 0.105556E+02 0.635647E-01 0.488541E-02 0.393015E-04 0.316564E-02 0.353326E+00 0.137875E+02 0.357088E+00 0.511468E-01 0.284855E-02 0.242652E+00 0.503950E-01 0.354935E-02 0.255370E-04 0.324807E+00 0.430532E-02 0.306151E-01 0.133605E-02 0.400626E-05 0.244627E+00 0.883271E-01 0.154707E-02 0.220778E-03 0.766697E+00 0.888359E-01
 0.106111E+02 0.589512E-01 0.423299E-02 0.302062E-04 0.272977E-02 0.314219E+00 0.122079E+02 0.320474E+00 0.609721E-01 0.317165E-02 0.304892E+00 0.463163E-01 0.303653E-02 0.193832E-04 0.300426E+00 0.912994E-02 0.288557E-01 0.119647E-02 0.327154E-05 0.228713E+00 0.938698E-01 0.134425E-02 0.209969E-03 0.784459E+00 0.817178E-01
 0.106667E+02 0.549561E-01 0.369878E-02 0.234988E-04 0.238007E-02 0.282379E+00 0.108198E+02 0.289583E+00 0.704405E-01 0.327373E-02 0.338649E+00 0.427310E-01 0.261804E-02 0.149164E-04 0.276170E+00 0.133499E-01 0.273517E-01 0.108074E-02 0.270555E-05 0.222519E+00 0.899639E-01 0.117782E-02 0.190924E-03 0.804152E+00 0.739428E-01
 0.107222E+02 0.513377E-01 0.324028E-02 0.183120E-04 0.207588E-02 0.255907E+00 0.956223E+01 0.263626E+00 0.767718E-01 0.323220E-02 0.341116E+00 0.395365E-01 0.226250E-02 0.114924E-04 0.253604E+00 0.165795E-01 0.259757E-01 0.977783E-03 0.223759E-05 0.216352E+00 0.867678E-01 0.103613E-02 0.169177E-03 0.823540E+00 0.656721E-01
 0.107778E+02 0.481575E-01 0.286274E-02 0.144919E-04 0.182115E-02 0.231678E+00 0.852442E+01 0.239048E+00 0.843175E-01 0.319709E-02 0.305004E+00 0.367152E-01 0.196999E-02 0.894840E-05 0.233072E+00 0.207133E-01 0.247756E-01 0.892745E-03 0.188409E-05 0.210960E+00 0.849957E-01 0.918670E-03 0.153533E-03 0.841232E+00 0.611125E-01
 0.108333E+02 0.452551E-01 0.253361E-02 0.114545E-04 0.160052E-02 0.215583E+00 0.755296E+01 0.223378E+00 0.894191E-01 0.313560E-02 0.290390E+00 0.341721E-01 0.171695E-02 0.694334E-05 0.216714E+00 0.233275E-01 0.236516E-01 0.816660E-03 0.158892E-05 0.204529E+00 0.857429E-01 0.816978E-03 0.138879E-03 0.857819E+00 0.561404E-01
 0.108889E+02 0.425994E-01 0.224943E-02 0.911147E-05 0.141968E-02 0.199294E+00 0.672303E+01 0.206653E+00 0.926346E-01 0.298916E-02 0.259052E+00 0.318873E-01 0.150547E-02 0.545343E-05 0.199426E+00 0.256289E-01 0.225488E-01 0.743959E-03 0.132864E-05 0.200905E+00 0.825402E-01 0.726902E-03 0.122965E-03 0.871465E+00 0.521626E-01
 0.109444E+02 0.400905E-01 0.199548E-02 0.722002E-05 0.126076E-02 0.186804E+00 0.598910E+01 0.194201E+00 0.900800E-01 0.273767E-02 0.231612E+00 0.298038E-01 0.132294E-02 0.428524E-05 0.185374E+00 0.227290E-01 0.214024E-01 0.672539E-03 0.109705E-05 0.194881E+00 0.811228E-01 0.644202E-03 0.106671E-03 0.879068E+00 0.532043E-01
