 iconf, T, nbar, abs_nbar, nbar2, nbar4, nbinder
  14 0.420000E+01 0.680300E-02 0.236085E+00 0.919263E-01 0.270375E-01 -.665102E-01
  14 0.424000E+01 -.546107E-02 0.145300E+00 0.361867E-01 0.521125E-02 -.326551E+00
  14 0.428000E+01 0.403329E-02 0.109411E+00 0.199747E-01 0.151806E-02 -.268259E+00
  14 0.432000E+01 0.264042E-02 0.935579E-01 0.142382E-01 0.703370E-03 -.156513E+00
  14 0.436000E+01 -.164439E-02 0.836611E-01 0.111971E-01 0.407282E-03 -.828331E-01
  14 0.440000E+01 0.267060E-03 0.773094E-01 0.951364E-02 0.288048E-03 -.608388E-01
  15 0.400000E+01 0.164125E+01 0.164125E+01 0.271695E+01 0.762673E+01 0.655608E+00
  15 0.404000E+01 0.145181E+01 0.145181E+01 0.213666E+01 0.480228E+01 0.649364E+00
  15 0.408000E+01 -.721864E+00 0.121879E+01 0.152838E+01 0.256850E+01 0.633482E+00
  15 0.412000E+01 -.164492E+00 0.902575E+00 0.892312E+00 0.101383E+01 0.575564E+00
  15 0.416000E+01 0.630819E-01 0.492835E+00 0.329894E+00 0.212256E+00 0.349885E+00
  15 0.420000E+01 0.475310E-03 0.232187E+00 0.898082E-01 0.269421E-01 -.113469E+00
  15 0.424000E+01 -.324353E-02 0.144103E+00 0.358700E-01 0.528500E-02 -.369182E+00
  15 0.428000E+01 -.136332E-02 0.110006E+00 0.199957E-01 0.148807E-02 -.240595E+00
  15 0.432000E+01 -.251894E-02 0.930233E-01 0.140075E-01 0.675819E-03 -.148119E+00
  15 0.436000E+01 0.372500E-03 0.837833E-01 0.112478E-01 0.407462E-03 -.735784E-01
  15 0.440000E+01 -.552330E-03 0.772639E-01 0.949210E-02 0.285145E-03 -.549235E-01
  16 0.400000E+01 0.164196E+01 0.164196E+01 0.271927E+01 0.764024E+01 0.655586E+00
  16 0.404000E+01 0.145131E+01 0.145131E+01 0.213573E+01 0.480186E+01 0.649091E+00
  16 0.408000E+01 -.121619E+01 0.121619E+01 0.152125E+01 0.254617E+01 0.633255E+00
  16 0.412000E+01 -.317373E-01 0.908464E+00 0.898572E+00 0.101565E+01 0.580707E+00
  16 0.416000E+01 0.980410E-01 0.503999E+00 0.339857E+00 0.220198E+00 0.364522E+00
  16 0.420000E+01 -.890768E-02 0.245086E+00 0.999671E-01 0.320647E-01 -.695270E-01
  16 0.424000E+01 -.515791E-02 0.142832E+00 0.349078E-01 0.482796E-02 -.320680E+00
  16 0.428000E+01 0.196823E-02 0.109552E+00 0.198584E-01 0.146311E-02 -.236700E+00
  16 0.432000E+01 -.273250E-03 0.940119E-01 0.143520E-01 0.718537E-03 -.162792E+00
  16 0.436000E+01 0.108963E-02 0.834383E-01 0.111551E-01 0.406997E-03 -.902512E-01
  16 0.440000E+01 -.984740E-03 0.769591E-01 0.941321E-02 0.280347E-03 -.546266E-01
  17 0.400000E+01 0.164084E+01 0.164084E+01 0.271547E+01 0.761757E+01 0.655646E+00
  17 0.404000E+01 0.145060E+01 0.145060E+01 0.213327E+01 0.478880E+01 0.649239E+00
  17 0.408000E+01 -.407432E+00 0.122095E+01 0.153212E+01 0.257886E+01 0.633800E+00
  17 0.412000E+01 0.382177E-01 0.908721E+00 0.900117E+00 0.102072E+01 0.580060E+00
  17 0.416000E+01 -.375970E-02 0.507525E+00 0.341329E+00 0.218870E+00 0.373791E+00
  17 0.420000E+01 -.119669E-01 0.233197E+00 0.915025E-01 0.281104E-01 -.119127E+00
  17 0.424000E+01 0.401143E-02 0.148537E+00 0.374035E-01 0.525059E-02 -.251013E+00
  17 0.428000E+01 0.464790E-03 0.110598E+00 0.203318E-01 0.155806E-02 -.256357E+00
  17 0.432000E+01 0.178587E-02 0.933153E-01 0.140788E-01 0.672068E-03 -.130215E+00
