 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9055
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.983333E+01 0.164955E+00 0.286808E-01 0.935789E-03 0.239908E-01 0.862388E+00 0.196698E+02 0.875813E+00 0.562685E-01 0.135916E-01 0.728574E+01 0.155282E+00 0.260938E-01 0.801649E-03 0.612549E+00 0.271506E-01 0.428961E-01 0.258701E-02 0.145439E-04 0.329240E+00 0.434359E-02 0.650602E-02 0.476950E-05 0.292960E+00 0.994889E-01
 0.988889E+01 0.154029E+00 0.253959E-01 0.761090E-03 0.212240E-01 0.819927E+00 0.221728E+02 0.835177E+00 0.703188E-01 0.145328E-01 0.675158E+01 0.144198E+00 0.230284E-01 0.653550E-03 0.593385E+00 0.352337E-01 0.410399E-01 0.236750E-02 0.122585E-04 0.325820E+00 0.328366E-02 0.576070E-02 0.103687E-03 0.313393E+00 0.111653E+00
 0.994444E+01 0.142913E+00 0.222417E-01 0.608206E-03 0.185047E-01 0.770537E+00 0.242712E+02 0.786990E+00 0.839600E-01 0.148846E-01 0.569068E+01 0.133001E+00 0.200757E-01 0.522001E-03 0.571231E+00 0.432765E-01 0.392902E-01 0.216601E-02 0.102731E-04 0.324049E+00 0.182283E-02 0.507708E-02 0.181145E-03 0.337041E+00 0.122743E+00
 0.100000E+02 0.131998E+00 0.193088E-01 0.478670E-03 0.159950E-01 0.716117E+00 0.252729E+02 0.734815E+00 0.966543E-01 0.149358E-01 0.434322E+01 0.122119E+00 0.173495E-01 0.410761E-03 0.546983E+00 0.512735E-01 0.373167E-01 0.195931E-02 0.850007E-05 0.316248E+00 0.257790E-02 0.442406E-02 0.241620E-03 0.359061E+00 0.132006E+00
 0.100556E+02 0.121678E+00 0.166788E-01 0.372803E-03 0.137222E-01 0.659854E+00 0.253178E+02 0.682693E+00 0.105301E+00 0.145531E-01 0.282282E+01 0.111858E+00 0.149003E-01 0.319249E-03 0.522428E+00 0.576943E-01 0.355636E-01 0.177846E-02 0.703081E-05 0.312623E+00 0.873382E-02 0.386493E-02 0.279332E-03 0.383128E+00 0.139407E+00
 0.101111E+02 0.111809E+00 0.143222E-01 0.287183E-03 0.117082E-01 0.599964E+00 0.247559E+02 0.625684E+00 0.115982E+00 0.140633E-01 0.169451E+01 0.102100E+00 0.127215E-01 0.245527E-03 0.495008E+00 0.652286E-01 0.336998E-01 0.160073E-02 0.574712E-05 0.303499E+00 0.151293E-01 0.334908E-02 0.305690E-03 0.406140E+00 0.145000E+00
 0.101667E+02 0.102690E+00 0.122577E-01 0.219199E-03 0.992872E-02 0.541114E+00 0.234960E+02 0.571300E+00 0.122064E+00 0.132704E-01 0.689656E+00 0.931542E-01 0.108133E-01 0.186584E-03 0.469238E+00 0.702237E-01 0.320434E-01 0.144442E-02 0.468011E-05 0.299262E+00 0.241966E-01 0.291676E-02 0.318033E-03 0.429448E+00 0.146422E+00
 0.102222E+02 0.942770E-01 0.104724E-01 0.166479E-03 0.840235E-02 0.482025E+00 0.218999E+02 0.516972E+00 0.127490E+00 0.124403E-01 0.802516E-01 0.848624E-01 0.916421E-02 0.140998E-03 0.441377E+00 0.761143E-01 0.304813E-01 0.130821E-02 0.386822E-05 0.290094E+00 0.324290E-01 0.253632E-02 0.316251E-03 0.455071E+00 0.148512E+00
 0.102778E+02 0.867905E-01 0.896455E-02 0.126024E-03 0.712067E-02 0.431822E+00 0.199530E+02 0.470983E+00 0.129503E+00 0.114942E-01 0.533356E+00 0.775764E-01 0.778344E-02 0.106052E-03 0.417934E+00 0.794710E-01 0.289619E-01 0.118112E-02 0.316298E-05 0.281455E+00 0.412427E-01 0.221386E-02 0.307240E-03 0.476458E+00 0.145147E+00
 0.103333E+02 0.800756E-01 0.769620E-02 0.955110E-04 0.603263E-02 0.387495E+00 0.181149E+02 0.429740E+00 0.128625E+00 0.104451E-01 0.856769E+00 0.710184E-01 0.661856E-02 0.796631E-04 0.396403E+00 0.809200E-01 0.276815E-01 0.107764E-02 0.263252E-05 0.276375E+00 0.491497E-01 0.194527E-02 0.286371E-03 0.500597E+00 0.140836E+00
 0.103889E+02 0.742028E-01 0.665641E-02 0.731700E-04 0.515829E-02 0.348595E+00 0.163605E+02 0.393954E+00 0.127312E+00 0.955265E-02 0.102827E+01 0.653097E-01 0.567293E-02 0.605045E-04 0.377311E+00 0.814083E-01 0.264794E-01 0.983479E-03 0.218522E-05 0.271440E+00 0.578289E-01 0.171968E-02 0.270548E-03 0.522884E+00 0.133358E+00
 0.104444E+02 0.689880E-01 0.578856E-02 0.564228E-04 0.443659E-02 0.316112E+00 0.148131E+02 0.362926E+00 0.123187E+00 0.860910E-02 0.110205E+01 0.602864E-01 0.489118E-02 0.462772E-04 0.360339E+00 0.804286E-01 0.253238E-01 0.897385E-03 0.180844E-05 0.270001E+00 0.624977E-01 0.152334E-02 0.245817E-03 0.543171E+00 0.125710E+00
