 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.818421E+01   76 -.153195E+01 0.000000E+00
 0.818421E+01   77 -.143068E+01 0.000000E+00
 0.818421E+01   78 -.132940E+01 0.000000E+00
 0.818421E+01   79 -.122812E+01 0.000000E+00
 0.818421E+01   80 -.112684E+01 0.000000E+00
 0.818421E+01   81 -.102556E+01 0.000000E+00
 0.818421E+01   82 -.924285E+00 0.000000E+00
 0.818421E+01   83 -.823007E+00 0.000000E+00
 0.818421E+01   84 -.721729E+00 0.000000E+00
 0.818421E+01   85 -.620451E+00 0.000000E+00
 0.818421E+01   86 -.519173E+00 0.000000E+00
 0.818421E+01   87 -.417894E+00 0.000000E+00
 0.818421E+01   88 -.316616E+00 0.000000E+00
 0.818421E+01   89 -.215338E+00 0.000000E+00
 0.818421E+01   90 -.114060E+00 0.000000E+00
 0.818421E+01   91 -.127818E-01 0.000000E+00
 0.818421E+01   92 0.884964E-01 0.000000E+00
 0.818421E+01   93 0.189775E+00 0.000000E+00
 0.818421E+01   94 0.291053E+00 0.000000E+00
 0.818421E+01   95 0.392331E+00 0.000000E+00
 0.818421E+01   96 0.493609E+00 0.000000E+00
 0.818421E+01   97 0.594887E+00 0.000000E+00
 0.818421E+01   98 0.696165E+00 0.000000E+00
 0.818421E+01   99 0.797444E+00 0.000000E+00
 0.836842E+01    1 -.895747E+01 0.000000E+00
 0.836842E+01    2 -.885790E+01 0.000000E+00
 0.836842E+01    3 -.875832E+01 0.000000E+00
 0.836842E+01    4 -.865875E+01 0.000000E+00
 0.836842E+01    5 -.855917E+01 0.000000E+00
 0.836842E+01    6 -.845960E+01 0.000000E+00
 0.836842E+01    7 -.836002E+01 0.000000E+00
 0.836842E+01    8 -.826045E+01 0.000000E+00
 0.836842E+01    9 -.816087E+01 0.000000E+00
 0.836842E+01   10 -.806130E+01 0.000000E+00
 0.836842E+01   11 -.796172E+01 0.000000E+00
 0.836842E+01   12 -.786215E+01 0.000000E+00
 0.836842E+01   13 -.776257E+01 0.000000E+00
 0.836842E+01   14 -.766300E+01 0.000000E+00
 0.836842E+01   15 -.756342E+01 0.000000E+00
 0.836842E+01   16 -.746385E+01 0.000000E+00
 0.836842E+01   17 -.736428E+01 0.000000E+00
 0.836842E+01   18 -.726470E+01 0.000000E+00
 0.836842E+01   19 -.716513E+01 0.000000E+00
 0.836842E+01   20 -.706555E+01 0.000000E+00
 0.836842E+01   21 -.696598E+01 0.000000E+00
 0.836842E+01   22 -.686640E+01 0.000000E+00
 0.836842E+01   23 -.676683E+01 0.000000E+00
 0.836842E+01   24 -.666725E+01 0.000000E+00
 0.836842E+01   25 -.656768E+01 0.000000E+00
 0.836842E+01   26 -.646810E+01 0.000000E+00
 0.836842E+01   27 -.636853E+01 0.000000E+00
 0.836842E+01   28 -.626895E+01 0.000000E+00
 0.836842E+01   29 -.616938E+01 0.000000E+00
 0.836842E+01   30 -.606980E+01 0.000000E+00
 0.836842E+01   31 -.597023E+01 0.000000E+00
 0.836842E+01   32 -.587065E+01 0.000000E+00
 0.836842E+01   33 -.577108E+01 0.000000E+00
 0.836842E+01   34 -.567151E+01 0.000000E+00
 0.836842E+01   35 -.557193E+01 0.000000E+00
 0.836842E+01   36 -.547236E+01 0.000000E+00
 0.836842E+01   37 -.537278E+01 0.000000E+00
 0.836842E+01   38 -.527321E+01 0.000000E+00
 0.836842E+01   39 -.517363E+01 0.000000E+00
 0.836842E+01   40 -.507406E+01 0.000000E+00
 0.836842E+01   41 -.497448E+01 0.000000E+00
 0.836842E+01   42 -.487491E+01 0.000000E+00
 0.836842E+01   43 -.477533E+01 0.000000E+00
 0.836842E+01   44 -.467576E+01 0.000000E+00
 0.836842E+01   45 -.457618E+01 0.000000E+00
 0.836842E+01   46 -.447661E+01 0.000000E+00
 0.836842E+01   47 -.437703E+01 0.370000E-05
 0.836842E+01   48 -.427746E+01 0.206310E-02
 0.836842E+01   49 -.417788E+01 0.763564E-01
 0.836842E+01   50 -.407831E+01 0.438438E+00
 0.836842E+01   51 -.397874E+01 0.415736E+00
 0.836842E+01   52 -.387916E+01 0.657832E-01
 0.836842E+01   53 -.377959E+01 0.161620E-02
 0.836842E+01   54 -.368001E+01 0.320000E-05
 0.836842E+01   55 -.358044E+01 0.000000E+00
 0.836842E+01   56 -.348086E+01 0.000000E+00
 0.836842E+01   57 -.338129E+01 0.000000E+00
 0.836842E+01   58 -.328171E+01 0.000000E+00
 0.836842E+01   59 -.318214E+01 0.000000E+00
 0.836842E+01   60 -.308256E+01 0.000000E+00
 0.836842E+01   61 -.298299E+01 0.000000E+00
 0.836842E+01   62 -.288341E+01 0.000000E+00
 0.836842E+01   63 -.278384E+01 0.000000E+00
 0.836842E+01   64 -.268426E+01 0.000000E+00
 0.836842E+01   65 -.258469E+01 0.000000E+00
 0.836842E+01   66 -.248511E+01 0.000000E+00
 0.836842E+01   67 -.238554E+01 0.000000E+00
 0.836842E+01   68 -.228597E+01 0.000000E+00
 0.836842E+01   69 -.218639E+01 0.000000E+00
 0.836842E+01   70 -.208682E+01 0.000000E+00
 0.836842E+01   71 -.198724E+01 0.000000E+00
 0.836842E+01   72 -.188767E+01 0.000000E+00
 0.836842E+01   73 -.178809E+01 0.000000E+00
