 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.873684E+01   11 -.742939E+01 0.000000E+00
 0.873684E+01   12 -.733573E+01 0.000000E+00
 0.873684E+01   13 -.724207E+01 0.000000E+00
 0.873684E+01   14 -.714841E+01 0.000000E+00
 0.873684E+01   15 -.705475E+01 0.000000E+00
 0.873684E+01   16 -.696109E+01 0.000000E+00
 0.873684E+01   17 -.686743E+01 0.000000E+00
 0.873684E+01   18 -.677377E+01 0.000000E+00
 0.873684E+01   19 -.668011E+01 0.000000E+00
 0.873684E+01   20 -.658645E+01 0.000000E+00
 0.873684E+01   21 -.649279E+01 0.000000E+00
 0.873684E+01   22 -.639913E+01 0.000000E+00
 0.873684E+01   23 -.630547E+01 0.000000E+00
 0.873684E+01   24 -.621181E+01 0.000000E+00
 0.873684E+01   25 -.611815E+01 0.000000E+00
 0.873684E+01   26 -.602449E+01 0.000000E+00
 0.873684E+01   27 -.593084E+01 0.000000E+00
 0.873684E+01   28 -.583718E+01 0.000000E+00
 0.873684E+01   29 -.574352E+01 0.000000E+00
 0.873684E+01   30 -.564986E+01 0.000000E+00
 0.873684E+01   31 -.555620E+01 0.000000E+00
 0.873684E+01   32 -.546254E+01 0.000000E+00
 0.873684E+01   33 -.536888E+01 0.000000E+00
 0.873684E+01   34 -.527522E+01 0.000000E+00
 0.873684E+01   35 -.518156E+01 0.000000E+00
 0.873684E+01   36 -.508790E+01 0.000000E+00
 0.873684E+01   37 -.499424E+01 0.000000E+00
 0.873684E+01   38 -.490058E+01 0.000000E+00
 0.873684E+01   39 -.480692E+01 0.000000E+00
 0.873684E+01   40 -.471326E+01 0.000000E+00
 0.873684E+01   41 -.461960E+01 0.000000E+00
 0.873684E+01   42 -.452594E+01 0.000000E+00
 0.873684E+01   43 -.443228E+01 0.000000E+00
 0.873684E+01   44 -.433862E+01 0.000000E+00
 0.873684E+01   45 -.424496E+01 0.000000E+00
 0.873684E+01   46 -.415130E+01 0.000000E+00
 0.873684E+01   47 -.405764E+01 0.253000E-04
 0.873684E+01   48 -.396398E+01 0.379460E-02
 0.873684E+01   49 -.387032E+01 0.821288E-01
 0.873684E+01   50 -.377666E+01 0.405910E+00
 0.873684E+01   51 -.368300E+01 0.413868E+00
 0.873684E+01   52 -.358934E+01 0.898291E-01
 0.873684E+01   53 -.349568E+01 0.441680E-02
 0.873684E+01   54 -.340202E+01 0.274000E-04
 0.873684E+01   55 -.330836E+01 0.000000E+00
 0.873684E+01   56 -.321470E+01 0.000000E+00
 0.873684E+01   57 -.312104E+01 0.000000E+00
 0.873684E+01   58 -.302738E+01 0.000000E+00
 0.873684E+01   59 -.293372E+01 0.000000E+00
 0.873684E+01   60 -.284006E+01 0.000000E+00
 0.873684E+01   61 -.274640E+01 0.000000E+00
 0.873684E+01   62 -.265274E+01 0.000000E+00
 0.873684E+01   63 -.255908E+01 0.000000E+00
 0.873684E+01   64 -.246542E+01 0.000000E+00
 0.873684E+01   65 -.237176E+01 0.000000E+00
 0.873684E+01   66 -.227810E+01 0.000000E+00
 0.873684E+01   67 -.218444E+01 0.000000E+00
 0.873684E+01   68 -.209078E+01 0.000000E+00
 0.873684E+01   69 -.199712E+01 0.000000E+00
 0.873684E+01   70 -.190346E+01 0.000000E+00
 0.873684E+01   71 -.180980E+01 0.000000E+00
 0.873684E+01   72 -.171614E+01 0.000000E+00
 0.873684E+01   73 -.162248E+01 0.000000E+00
 0.873684E+01   74 -.152882E+01 0.000000E+00
