 iconf T
   5 0.800000E+01
 isweep, binderx, bindery
     381 0.533411E+00 0.665860E+00
     382 0.532213E+00 0.665862E+00
     383 0.531044E+00 0.665864E+00
     384 0.529863E+00 0.665863E+00
     385 0.528746E+00 0.665859E+00
     386 0.527549E+00 0.665859E+00
     387 0.526344E+00 0.665861E+00
     388 0.525315E+00 0.665863E+00
     389 0.524427E+00 0.665862E+00
     390 0.523354E+00 0.665855E+00
     391 0.522157E+00 0.665852E+00
     392 0.521074E+00 0.665844E+00
     393 0.519981E+00 0.665843E+00
     394 0.518761E+00 0.665843E+00
     395 0.517639E+00 0.665842E+00
     396 0.516467E+00 0.665844E+00
     397 0.515363E+00 0.665846E+00
     398 0.514157E+00 0.665847E+00
     399 0.512993E+00 0.665848E+00
     400 0.511957E+00 0.665848E+00
     401 0.510969E+00 0.665849E+00
     402 0.509824E+00 0.665850E+00
     403 0.508631E+00 0.665849E+00
     404 0.507617E+00 0.665850E+00
     405 0.508158E+00 0.665848E+00
     406 0.508497E+00 0.665847E+00
     407 0.509067E+00 0.665846E+00
     408 0.509262E+00 0.665846E+00
     409 0.509818E+00 0.665847E+00
     410 0.510361E+00 0.665849E+00
     411 0.509210E+00 0.665847E+00
     412 0.508045E+00 0.665846E+00
     413 0.506853E+00 0.665848E+00
     414 0.505700E+00 0.665850E+00
     415 0.504564E+00 0.665850E+00
     416 0.503492E+00 0.665852E+00
     417 0.502299E+00 0.665854E+00
     418 0.501348E+00 0.665850E+00
     419 0.500196E+00 0.665846E+00
     420 0.499006E+00 0.665848E+00
     421 0.497881E+00 0.665849E+00
     422 0.496737E+00 0.665851E+00
     423 0.495551E+00 0.665852E+00
     424 0.494359E+00 0.665854E+00
     425 0.493205E+00 0.665856E+00
     426 0.492028E+00 0.665857E+00
     427 0.490836E+00 0.665859E+00
     428 0.489717E+00 0.665857E+00
     429 0.488551E+00 0.665853E+00
     430 0.487360E+00 0.665851E+00
     431 0.486182E+00 0.665853E+00
     432 0.485185E+00 0.665855E+00
     433 0.484060E+00 0.665857E+00
     434 0.483221E+00 0.665854E+00
     435 0.482082E+00 0.665855E+00
     436 0.480901E+00 0.665856E+00
     437 0.479787E+00 0.665850E+00
     438 0.478652E+00 0.665850E+00
     439 0.477838E+00 0.665852E+00
     440 0.476914E+00 0.665853E+00
     441 0.476592E+00 0.665850E+00
     442 0.476374E+00 0.665848E+00
     443 0.475500E+00 0.665850E+00
     444 0.474727E+00 0.665847E+00
     445 0.474477E+00 0.665845E+00
     446 0.474047E+00 0.665846E+00
     447 0.473351E+00 0.665848E+00
     448 0.472618E+00 0.665846E+00
     449 0.471725E+00 0.665840E+00
     450 0.470960E+00 0.665836E+00
     451 0.470195E+00 0.665837E+00
     452 0.469426E+00 0.665835E+00
     453 0.468423E+00 0.665836E+00
     454 0.467630E+00 0.665837E+00
     455 0.467062E+00 0.665835E+00
     456 0.466559E+00 0.665836E+00
     457 0.466550E+00 0.665830E+00
     458 0.466139E+00 0.665831E+00
     459 0.465671E+00 0.665833E+00
     460 0.465057E+00 0.665835E+00
     461 0.464453E+00 0.665836E+00
     462 0.464393E+00 0.665838E+00
     463 0.463299E+00 0.665837E+00
     464 0.462184E+00 0.665838E+00
     465 0.461124E+00 0.665839E+00
     466 0.460057E+00 0.665839E+00
     467 0.458906E+00 0.665841E+00
     468 0.457761E+00 0.665842E+00
     469 0.456623E+00 0.665843E+00
     470 0.455597E+00 0.665844E+00
     471 0.455970E+00 0.665846E+00
     472 0.456276E+00 0.665846E+00
     473 0.456502E+00 0.665848E+00
     474 0.456852E+00 0.665849E+00
     475 0.457481E+00 0.665849E+00
     476 0.458132E+00 0.665851E+00
     477 0.458784E+00 0.665853E+00
     478 0.459486E+00 0.665854E+00
     479 0.460186E+00 0.665854E+00
     480 0.460859E+00 0.665853E+00
     481 0.461462E+00 0.665850E+00
     482 0.462131E+00 0.665851E+00
     483 0.461022E+00 0.665848E+00
     484 0.459907E+00 0.665850E+00
     485 0.458834E+00 0.665851E+00
     486 0.457750E+00 0.665852E+00
     487 0.456637E+00 0.665854E+00
     488 0.455579E+00 0.665855E+00
     489 0.454634E+00 0.665857E+00
     490 0.453522E+00 0.665857E+00
     491 0.452431E+00 0.665858E+00
     492 0.451320E+00 0.665857E+00
     493 0.450219E+00 0.665856E+00
     494 0.449284E+00 0.665858E+00
     495 0.448195E+00 0.665858E+00
     496 0.447130E+00 0.665860E+00
     497 0.446369E+00 0.665860E+00
     498 0.445466E+00 0.665860E+00
     499 0.444376E+00 0.665862E+00
     500 0.443332E+00 0.665863E+00
     501 0.442339E+00 0.665865E+00
     502 0.441226E+00 0.665866E+00
     503 0.440221E+00 0.665867E+00
     504 0.439111E+00 0.665869E+00
     505 0.438043E+00 0.665868E+00
     506 0.436931E+00 0.665869E+00
     507 0.435835E+00 0.665869E+00
     508 0.434831E+00 0.665870E+00
     509 0.435568E+00 0.665863E+00
     510 0.436065E+00 0.665865E+00
     511 0.436276E+00 0.665865E+00
     512 0.437022E+00 0.665866E+00
     513 0.437703E+00 0.665863E+00
     514 0.438423E+00 0.665862E+00
     515 0.438873E+00 0.665859E+00
     516 0.439419E+00 0.665860E+00
     517 0.439799E+00 0.665861E+00
     518 0.440169E+00 0.665863E+00
     519 0.440709E+00 0.665862E+00
     520 0.441111E+00 0.665864E+00
     521 0.441826E+00 0.665862E+00
     522 0.442491E+00 0.665863E+00
     523 0.442998E+00 0.665864E+00
     524 0.443613E+00 0.665865E+00
     525 0.444304E+00 0.665866E+00
     526 0.444802E+00 0.665866E+00
     527 0.445479E+00 0.665866E+00
     528 0.446164E+00 0.665867E+00
     529 0.446843E+00 0.665868E+00
     530 0.447465E+00 0.665869E+00
     531 0.447982E+00 0.665870E+00
     532 0.448436E+00 0.665872E+00
     533 0.449036E+00 0.665873E+00
     534 0.449707E+00 0.665875E+00
     535 0.450183E+00 0.665873E+00
     536 0.450806E+00 0.665874E+00
     537 0.451418E+00 0.665874E+00
     538 0.452070E+00 0.665876E+00
     539 0.452635E+00 0.665876E+00
     540 0.453231E+00 0.665877E+00
     541 0.453877E+00 0.665878E+00
     542 0.454395E+00 0.665880E+00
     543 0.455034E+00 0.665879E+00
     544 0.455615E+00 0.665877E+00
     545 0.455479E+00 0.665878E+00
     546 0.456010E+00 0.665880E+00
     547 0.456460E+00 0.665881E+00
     548 0.456709E+00 0.665882E+00
     549 0.457155E+00 0.665883E+00
     550 0.457365E+00 0.665884E+00
     551 0.457344E+00 0.665884E+00
     552 0.457615E+00 0.665885E+00
     553 0.457955E+00 0.665887E+00
     554 0.458513E+00 0.665876E+00
     555 0.459052E+00 0.665877E+00
     556 0.458740E+00 0.665878E+00
     557 0.458994E+00 0.665879E+00
     558 0.459305E+00 0.665881E+00
     559 0.459904E+00 0.665881E+00
     560 0.460315E+00 0.665883E+00
     561 0.460896E+00 0.665883E+00
     562 0.461101E+00 0.665883E+00
     563 0.461664E+00 0.665883E+00
     564 0.462242E+00 0.665884E+00
     565 0.462710E+00 0.665884E+00
     566 0.463290E+00 0.665885E+00
     567 0.463795E+00 0.665886E+00
     568 0.464209E+00 0.665887E+00
     569 0.464561E+00 0.665889E+00
     570 0.464920E+00 0.665888E+00
     571 0.464913E+00 0.665884E+00
     572 0.464806E+00 0.665885E+00
     573 0.464984E+00 0.665885E+00
     574 0.465400E+00 0.665885E+00
     575 0.465671E+00 0.665885E+00
     576 0.466142E+00 0.665883E+00
     577 0.466583E+00 0.665883E+00
     578 0.467035E+00 0.665879E+00
     579 0.467331E+00 0.665880E+00
     580 0.467878E+00 0.665879E+00
     581 0.468276E+00 0.665880E+00
     582 0.468665E+00 0.665878E+00
     583 0.469153E+00 0.665880E+00
     584 0.469636E+00 0.665881E+00
     585 0.469996E+00 0.665882E+00
     586 0.470452E+00 0.665883E+00
     587 0.470895E+00 0.665884E+00
     588 0.471018E+00 0.665885E+00
     589 0.470934E+00 0.665885E+00
     590 0.471230E+00 0.665881E+00
     591 0.471627E+00 0.665882E+00
     592 0.472148E+00 0.665883E+00
     593 0.472444E+00 0.665884E+00
     594 0.472602E+00 0.665886E+00
     595 0.472939E+00 0.665887E+00
     596 0.473033E+00 0.665888E+00
     597 0.473462E+00 0.665889E+00
     598 0.473913E+00 0.665890E+00
     599 0.474417E+00 0.665891E+00
     600 0.474890E+00 0.665892E+00
     601 0.475356E+00 0.665893E+00
     602 0.475854E+00 0.665893E+00
     603 0.476343E+00 0.665894E+00
     604 0.476835E+00 0.665891E+00
     605 0.477240E+00 0.665892E+00
     606 0.477682E+00 0.665894E+00
     607 0.478113E+00 0.665893E+00
     608 0.478560E+00 0.665895E+00
     609 0.478953E+00 0.665896E+00
     610 0.479412E+00 0.665897E+00
     611 0.478770E+00 0.665898E+00
     612 0.478234E+00 0.665897E+00
     613 0.478624E+00 0.665898E+00
     614 0.478896E+00 0.665898E+00
     615 0.478930E+00 0.665899E+00
     616 0.478028E+00 0.665900E+00
     617 0.478477E+00 0.665901E+00
     618 0.478951E+00 0.665902E+00
     619 0.479419E+00 0.665902E+00
     620 0.479788E+00 0.665903E+00
     621 0.480145E+00 0.665902E+00
     622 0.480608E+00 0.665903E+00
     623 0.480959E+00 0.665904E+00
     624 0.481407E+00 0.665904E+00
     625 0.481742E+00 0.665897E+00
     626 0.481642E+00 0.665898E+00
     627 0.481963E+00 0.665896E+00
     628 0.481802E+00 0.665897E+00
     629 0.481721E+00 0.665898E+00
     630 0.481687E+00 0.665899E+00
     631 0.481541E+00 0.665901E+00
     632 0.481130E+00 0.665902E+00
     633 0.480679E+00 0.665903E+00
     634 0.480670E+00 0.665904E+00
     635 0.480492E+00 0.665905E+00
     636 0.480351E+00 0.665906E+00
     637 0.479894E+00 0.665907E+00
     638 0.479666E+00 0.665907E+00
     639 0.479401E+00 0.665905E+00
     640 0.479040E+00 0.665904E+00
     641 0.478776E+00 0.665905E+00
     642 0.478754E+00 0.665905E+00
     643 0.478634E+00 0.665906E+00
     644 0.478353E+00 0.665907E+00
     645 0.478261E+00 0.665903E+00
     646 0.478323E+00 0.665902E+00
     647 0.478232E+00 0.665903E+00
     648 0.477770E+00 0.665904E+00
     649 0.477789E+00 0.665905E+00
     650 0.477972E+00 0.665906E+00
     651 0.477967E+00 0.665907E+00
     652 0.478290E+00 0.665908E+00
     653 0.478525E+00 0.665909E+00
     654 0.478550E+00 0.665910E+00
     655 0.478521E+00 0.665909E+00
     656 0.478508E+00 0.665910E+00
     657 0.478048E+00 0.665910E+00
     658 0.477797E+00 0.665911E+00
     659 0.477793E+00 0.665912E+00
     660 0.477636E+00 0.665912E+00
     661 0.477810E+00 0.665913E+00
     662 0.478184E+00 0.665915E+00
     663 0.478212E+00 0.665914E+00
     664 0.478449E+00 0.665915E+00
     665 0.478428E+00 0.665916E+00
     666 0.478502E+00 0.665917E+00
     667 0.478669E+00 0.665917E+00
     668 0.478599E+00 0.665916E+00
     669 0.478541E+00 0.665917E+00
     670 0.478611E+00 0.665918E+00
     671 0.478894E+00 0.665917E+00
     672 0.478852E+00 0.665918E+00
     673 0.479123E+00 0.665918E+00
     674 0.479359E+00 0.665919E+00
     675 0.479560E+00 0.665920E+00
     676 0.479751E+00 0.665921E+00
     677 0.479678E+00 0.665922E+00
     678 0.479645E+00 0.665923E+00
     679 0.479895E+00 0.665923E+00
     680 0.480255E+00 0.665923E+00
     681 0.480161E+00 0.665924E+00
     682 0.480191E+00 0.665925E+00
     683 0.480549E+00 0.665925E+00
     684 0.480874E+00 0.665926E+00
     685 0.481273E+00 0.665927E+00
     686 0.481575E+00 0.665928E+00
     687 0.481777E+00 0.665928E+00
     688 0.481921E+00 0.665929E+00
     689 0.482101E+00 0.665930E+00
     690 0.481940E+00 0.665931E+00
     691 0.482021E+00 0.665932E+00
     692 0.481871E+00 0.665933E+00
     693 0.481666E+00 0.665934E+00
     694 0.481428E+00 0.665934E+00
     695 0.481574E+00 0.665934E+00
     696 0.481443E+00 0.665933E+00
     697 0.481459E+00 0.665933E+00
     698 0.481544E+00 0.665933E+00
     699 0.481628E+00 0.665934E+00
     700 0.481309E+00 0.665935E+00
     701 0.481348E+00 0.665936E+00
     702 0.481371E+00 0.665937E+00
     703 0.481430E+00 0.665937E+00
     704 0.481482E+00 0.665938E+00
     705 0.481844E+00 0.665939E+00
     706 0.481522E+00 0.665939E+00
     707 0.481482E+00 0.665940E+00
     708 0.481656E+00 0.665939E+00
     709 0.481804E+00 0.665940E+00
     710 0.481505E+00 0.665940E+00
     711 0.481232E+00 0.665941E+00
     712 0.480604E+00 0.665941E+00
     713 0.480226E+00 0.665940E+00
     714 0.479693E+00 0.665940E+00
     715 0.479452E+00 0.665939E+00
     716 0.478864E+00 0.665940E+00
     717 0.478256E+00 0.665939E+00
     718 0.477998E+00 0.665939E+00
     719 0.477659E+00 0.665940E+00
     720 0.477011E+00 0.665940E+00
     721 0.476433E+00 0.665940E+00
     722 0.475909E+00 0.665940E+00
     723 0.475414E+00 0.665941E+00
     724 0.474870E+00 0.665940E+00
     725 0.474149E+00 0.665940E+00
     726 0.473580E+00 0.665937E+00
     727 0.473063E+00 0.665933E+00
     728 0.472703E+00 0.665934E+00
     729 0.472201E+00 0.665930E+00
     730 0.471760E+00 0.665931E+00
